id, eV
0, 280.0
1, 280.5
2, 281.0
3, 281.5
4, 282.0
5, 282.5
6, 283.0
7, 283.5
8, 283.6
9, 283.7
10, 283.8
11, 283.9
12, 284.0
13, 284.1
14, 284.2
15, 284.3
16, 284.4
17, 284.5
18, 284.6
19, 284.7
20, 284.8
21, 284.9
22, 285.0
23, 285.1
24, 285.2
25, 285.3
26, 285.4
27, 285.5
28, 285.6
29, 285.7
30, 285.8
31, 285.9
32, 286.0
33, 286.1
34, 286.2
35, 286.3
36, 286.4
37, 286.5
38, 286.6
39, 286.7
40, 286.8
41, 286.9
42, 287.0
43, 287.1
44, 287.2
45, 287.3
46, 287.4
47, 287.5
48, 287.6
49, 287.7
50, 287.8
51, 287.9
52, 288.0
53, 288.1
54, 288.2
55, 288.3
56, 288.4
57, 288.5
58, 288.6
59, 288.7
60, 288.8
61, 288.9
62, 289.0
63, 289.1
64, 289.2
65, 289.3
66, 289.4
67, 289.5
68, 289.6
69, 289.7
70, 289.8
71, 289.9
72, 290.0
73, 290.1
74, 290.2
75, 290.3
76, 290.4
77, 290.5
78, 290.6
79, 290.7
80, 290.8
81, 290.9
82, 291.0
83, 291.5
84, 292.0
85, 292.5
86, 293.0
87, 293.5
88, 294.0
89, 294.5
90, 295.0
91, 295.5
92, 296.0
93, 296.5
94, 297.0
95, 297.5
96, 298.0
97, 298.5
98, 299.0
99, 299.5
100, 300.0
